time,pnl,equity,side,enter,exit
2022-01-02 07:16:00+00:00,-0.003036132130437707,9999.99260294275,-1,,tp/sl
2022-01-02 07:16:00+00:00,-3.613252027328677e-05,9999.99256681023,-1,y,
2022-01-02 07:17:00+00:00,-0.0030361736276307144,9999.989530636602,-1,,tp/sl
2022-01-02 07:17:00+00:00,-3.6173735635752794e-05,9999.989494462867,-1,y,
2022-01-02 07:18:00+00:00,0.0039638670059971085,9999.993458329873,-1,,tp/sl
2022-01-02 07:18:00+00:00,-3.6126720449207975e-05,9999.993422203152,-1,y,
2022-01-02 07:19:00+00:00,-0.003036147814537826,9999.990386055337,-1,,tp/sl
2022-01-02 07:19:00+00:00,-3.6147665934671405e-05,9999.99034990767,-1,y,
2022-01-02 07:20:00+00:00,-0.003036188032202288,9999.987313719637,-1,,tp/sl
2022-01-02 07:20:00+00:00,-3.618880526927604e-05,9999.987277530832,-1,y,
2022-01-02 07:21:00+00:00,-3.617558166136423e-05,9999.987241355251,-1,y,
2022-01-02 07:22:00+00:00,-3.6182717750555855e-05,9999.987205172534,1,y,
2022-01-02 07:23:00+00:00,0.003963872378269524,9999.991169044912,-1,,tp/sl
2022-01-02 07:23:00+00:00,0.003963872363924725,9999.995132917276,-1,,tp/sl
2022-01-02 07:23:00+00:00,-0.003036118719363508,9999.992096798556,1,,tp/sl
2022-01-02 07:23:00+00:00,-3.612466449439307e-05,9999.992060673892,1,y,
2022-01-02 07:25:00+00:00,-0.003036097174224938,9999.989024576718,1,,tp/sl
2022-01-03 07:00:00+00:00,-3.6520064470127177e-05,9999.988988056653,-1,y,
2022-01-03 07:01:00+00:00,-0.0030365463298911263,9999.985951510324,-1,,tp/sl
2022-01-03 07:02:00+00:00,-3.658026006971563e-05,9999.985914930063,1,y,
2022-01-03 07:03:00+00:00,0.003963325731111669,9999.989878255794,1,,tp/sl
2022-01-03 07:18:00+00:00,-3.677020597417313e-05,9999.989841485587,1,y,
2022-01-03 07:19:00+00:00,-0.003036717852579768,9999.986804767734,1,,tp/sl
2022-01-03 07:19:00+00:00,-3.6722977814125715e-05,9999.986768044755,1,y,
2022-01-03 07:20:00+00:00,-3.671377940151765e-05,9999.986731330975,1,y,
2022-01-03 07:21:00+00:00,-3.671864066901967e-05,9999.986694612335,1,y,
2022-01-03 07:22:00+00:00,-3.6741524408814034e-05,9999.98665787081,1,y,
2022-01-03 07:23:00+00:00,0.003963228538066232,9999.990621099349,1,,tp/sl
2022-01-03 07:23:00+00:00,0.0039632285235120576,9999.994584327873,1,,tp/sl
2022-01-03 07:23:00+00:00,0.003963228508961528,9999.998547556383,1,,tp/sl
2022-01-03 07:23:00+00:00,-3.676832701436593e-05,9999.998510788055,1,y,
2022-01-03 07:24:00+00:00,0.0039632201429486025,10000.002474008197,1,,tp/sl
2022-01-03 07:24:00+00:00,-3.677669292492278e-05,10000.002437231504,1,y,
2022-01-03 07:25:00+00:00,-3.6793914612684726e-05,10000.00240043759,1,y,
2022-01-03 07:28:00+00:00,-0.0030367669187844263,9999.999363670671,1,,tp/sl
2022-01-03 07:28:00+00:00,-3.6768276314533114e-05,9999.999326902394,1,y,
2022-01-03 07:29:00+00:00,-3.67688347702369e-05,9999.999290133559,1,y,
2022-01-03 07:30:00+00:00,-3.676781461496541e-05,9999.999253365744,1,y,
2022-01-03 07:31:00+00:00,-0.0030367098584159575,9999.996216655885,1,,tp/sl
2022-01-03 07:31:00+00:00,-0.003036711050765624,9999.993179944835,1,,tp/sl
2022-01-03 07:31:00+00:00,-0.0030367101062462242,9999.990143234729,1,,tp/sl
2022-01-03 07:31:00+00:00,-0.0030367100950807638,9999.987106524633,1,,tp/sl
2022-01-03 07:31:00+00:00,-0.0030367100839151337,9999.984069814549,1,,tp/sl
2022-01-03 07:31:00+00:00,-3.671234099747361e-05,9999.984033102208,1,y,
2022-01-03 07:35:00+00:00,-0.0030366799360180955,9999.980996422271,1,,tp/sl
2022-01-03 07:36:00+00:00,-3.6696928054029204e-05,9999.980959725342,-1,y,
2022-01-03 07:37:00+00:00,0.003963325034195462,9999.984923050377,-1,,tp/sl
2022-01-03 07:37:00+00:00,-3.6665278774551e-05,9999.984886385098,-1,y,
2022-01-03 07:38:00+00:00,0.0039633743161946195,9999.988849759415,-1,,tp/sl
2022-01-03 07:42:00+00:00,-3.670220158718591e-05,9999.988813057213,-1,y,
2022-01-03 07:43:00+00:00,0.003963334326284847,9999.992776391538,-1,,tp/sl
2022-01-03 07:43:00+00:00,-3.665912801596223e-05,9999.99273973241,-1,y,
2022-01-03 07:44:00+00:00,-3.6652313420323895e-05,9999.992703080097,-1,y,
2022-01-03 07:45:00+00:00,-3.665983948468442e-05,9999.992666420258,-1,y,
2022-01-03 07:47:00+00:00,-0.003036680804928671,9999.989629739453,-1,,tp/sl
2022-01-03 07:47:00+00:00,-0.003036680793796456,9999.98659305866,-1,,tp/sl
2022-01-03 07:47:00+00:00,-0.0030366807826663106,9999.983556377878,-1,,tp/sl
2022-01-04 07:00:00+00:00,-3.623880308075377e-05,9999.983520139074,-1,y,
2022-01-04 07:01:00+00:00,-3.6235765026407845e-05,9999.98348390331,-1,y,
2022-01-04 07:02:00+00:00,-3.623349290936678e-05,9999.983447669818,-1,y,
2022-01-04 07:03:00+00:00,-3.62280433807753e-05,9999.983411441775,-1,y,
2022-01-04 07:04:00+00:00,-3.6235361008312424e-05,9999.983375206415,-1,y,
2022-01-04 07:05:00+00:00,-0.0030362543596149975,9999.980338952055,-1,,tp/sl
2022-01-04 07:05:00+00:00,-0.00303625434861288,9999.977302697705,-1,,tp/sl
2022-01-04 07:05:00+00:00,-0.0030362543376114518,9999.974266443367,-1,,tp/sl
2022-01-04 07:05:00+00:00,-0.003036254326611678,9999.971230189041,-1,,tp/sl
2022-01-04 07:05:00+00:00,-3.6257159016740465e-05,9999.971193931882,-1,y,
2022-01-04 07:06:00+00:00,0.003963764902166203,9999.975157696785,-1,,tp/sl
2022-01-04 07:06:00+00:00,-3.622150414151457e-05,9999.975121475281,-1,y,
2022-01-04 07:07:00+00:00,0.003963800222291553,9999.979085275503,-1,,tp/sl
2022-01-04 07:07:00+00:00,0.00396379689321668,9999.983049072396,-1,,tp/sl
2022-01-04 07:07:00+00:00,-3.6191098427054335e-05,9999.983012881297,-1,y,
2022-01-04 07:08:00+00:00,0.003963850613380673,9999.98697673191,-1,,tp/sl
2022-01-04 07:08:00+00:00,-3.61405204466298e-05,9999.98694059139,-1,y,
2022-01-04 07:09:00+00:00,-0.0030361637732450727,9999.983904427618,-1,,tp/sl
2022-01-04 07:09:00+00:00,-3.6165569117052953e-05,9999.983868262048,-1,y,
2022-01-04 07:10:00+00:00,-3.61728125995372e-05,9999.983832089236,-1,y,
2022-01-04 07:11:00+00:00,-0.003036184709417587,9999.980795904527,-1,,tp/sl
2022-01-04 07:11:00+00:00,-3.618742684371482e-05,9999.9807597171,-1,y,
2022-01-04 07:12:00+00:00,0.003963844154158386,9999.984723561254,-1,,tp/sl
2022-01-04 07:12:00+00:00,-3.6146078404417855e-05,9999.984687415175,-1,y,
2022-01-04 07:13:00+00:00,-0.003036194990753997,9999.981651220185,-1,,tp/sl
2022-01-04 07:13:00+00:00,-0.003036195250439932,9999.978615024935,-1,,tp/sl
2022-01-04 07:14:00+00:00,-3.6180083326308035e-05,9999.978578844852,-1,y,
2022-01-04 07:15:00+00:00,-3.618495236567098e-05,9999.9785426599,-1,y,
2022-01-04 07:16:00+00:00,-0.0030362053795845406,9999.975506454519,-1,,tp/sl
2022-01-04 07:16:00+00:00,-0.0030362053685995005,9999.97247024915,-1,,tp/sl
2022-01-04 07:16:00+00:00,-3.620967283145767e-05,9999.972434039477,-1,y,
2022-01-04 07:17:00+00:00,-3.618109175609669e-05,9999.972397858384,-1,y,
2022-01-04 07:18:00+00:00,0.003963821606970237,9999.976361679992,-1,,tp/sl
2022-01-04 07:18:00+00:00,-3.616529520871182e-05,9999.976325514697,-1,y,
2022-01-04 07:19:00+00:00,-3.6170479590563444e-05,9999.976289344218,-1,y,
2022-01-04 07:20:00+00:00,-0.0030362470800120445,9999.973253097138,-1,,tp/sl
2022-01-04 07:20:00+00:00,-0.0030362482725440365,9999.970216848866,-1,,tp/sl
2022-01-04 07:20:00+00:00,-0.0030362482615633292,9999.967180600604,-1,,tp/sl
2022-01-04 07:20:00+00:00,-3.62532307605148e-05,9999.967144347374,-1,y,
2022-01-04 07:22:00+00:00,-0.0030363008523937004,9999.964108046523,-1,,tp/sl
2022-01-05 07:00:00+00:00,-3.678263686913208e-05,9999.964071263887,-1,y,
2022-01-05 07:01:00+00:00,0.003963257990601435,9999.968034521877,-1,,tp/sl
2022-01-05 07:01:00+00:00,-3.672556704496174e-05,9999.96799779631,-1,y,
2022-01-05 07:02:00+00:00,-3.671436946121438e-05,9999.96796108194,-1,y,
2022-01-05 07:03:00+00:00,-0.003036736538451047,9999.964924345402,-1,,tp/sl
2022-01-05 07:06:00+00:00,-3.6710052022503234e-05,9999.96488763535,-1,y,
2022-01-05 07:07:00+00:00,-0.003036752959222293,9999.96185088239,-1,,tp/sl
2022-01-05 07:07:00+00:00,-0.003036752014735513,9999.958814130376,-1,,tp/sl
2022-01-05 07:07:00+00:00,-3.676041497776163e-05,9999.95877736996,-1,y,
2022-01-05 07:08:00+00:00,-3.675364715747262e-05,9999.958740616314,-1,y,
2022-01-05 07:09:00+00:00,-3.674860152217625e-05,9999.958703867713,-1,y,
2022-01-05 07:10:00+00:00,-0.0030367634797543895,9999.955667104234,-1,,tp/sl
2022-01-05 07:10:00+00:00,-0.0030367634685931305,9999.952630340766,-1,,tp/sl
2022-01-05 07:10:00+00:00,-3.6773723947035825e-05,9999.95259356704,-1,y,
2022-01-05 07:11:00+00:00,0.003963244229555876,9999.95655681127,-1,,tp/sl
2022-01-05 07:11:00+00:00,-3.6734737014226576e-05,9999.956520076534,-1,y,
2022-01-05 07:12:00+00:00,0.00396325317142256,9999.960483329705,-1,,tp/sl
2022-01-05 07:12:00+00:00,-3.672826036894167e-05,9999.960446601444,-1,y,
2022-01-05 07:13:00+00:00,-3.6714871519772055e-05,9999.960409886573,-1,y,
2022-01-05 07:14:00+00:00,-3.6710791274846975e-05,9999.960373175782,-1,y,
2022-01-05 07:15:00+00:00,-0.003036725951802955,9999.95733644983,-1,,tp/sl
2022-01-05 07:15:00+00:00,-0.0030367259406536115,9999.95429972389,-1,,tp/sl
2022-01-05 07:15:00+00:00,-3.673569524974312e-05,9999.954262988194,-1,y,
2022-01-05 07:16:00+00:00,-0.0030367422535141457,9999.951226245941,-1,,tp/sl
2022-01-05 07:16:00+00:00,-3.675197450175567e-05,9999.951189493966,-1,y,
2022-01-05 07:18:00+00:00,-3.6733984472805274e-05,9999.95115275998,-1,y,
2022-01-05 07:19:00+00:00,-0.0030367668997625416,9999.94811599308,-1,,tp/sl
2022-01-05 07:19:00+00:00,-0.003036766214334739,9999.945079226865,-1,,tp/sl
2022-01-05 07:19:00+00:00,-0.0030367652809870746,9999.942042461584,-1,,tp/sl
2022-01-05 07:19:00+00:00,-0.0030367652698263074,9999.939005696313,-1,,tp/sl
2022-01-05 07:22:00+00:00,-3.67519030937672e-05,9999.93896894441,-1,y,
2022-01-05 07:23:00+00:00,-3.675005045615318e-05,9999.93893219436,-1,y,
2022-01-05 07:24:00+00:00,0.0039632713645811005,9999.942895465725,-1,,tp/sl
2022-01-05 07:24:00+00:00,0.003963271350015235,9999.946858737076,-1,,tp/sl
2022-01-05 07:24:00+00:00,-3.6702166532748415e-05,9999.94682203491,-1,y,
2022-01-05 07:25:00+00:00,-0.0030367297723403854,9999.943785305137,-1,,tp/sl
2022-01-05 07:25:00+00:00,-3.6743603437462715e-05,9999.943748561533,-1,y,
2022-01-05 07:26:00+00:00,-3.672084706755989e-05,9999.943711840686,-1,y,
2022-01-05 07:27:00+00:00,-0.0030367362283089936,9999.940675104457,-1,,tp/sl
2022-01-05 07:31:00+00:00,-0.0030367644804176405,9999.937638339976,-1,,tp/sl
2022-01-06 07:00:00+00:00,-3.719063372622786e-05,9999.937601149342,1,y,
2022-01-06 07:01:00+00:00,-3.7185697960090714e-05,9999.937563963644,1,y,
2022-01-06 07:02:00+00:00,-3.71954952868308e-05,9999.937526768148,1,y,
2022-01-06 07:03:00+00:00,-0.0030371499427529584,9999.934489618205,1,,tp/sl
2022-01-06 07:03:00+00:00,-0.00303714992016361,9999.931452468285,1,,tp/sl
2022-01-06 07:03:00+00:00,-3.717072824437664e-05,9999.931415297557,1,y,
2022-01-06 07:04:00+00:00,-3.717086206413444e-05,9999.931378126694,1,y,
2022-01-06 07:05:00+00:00,-3.7180036705980316e-05,9999.931340946658,1,y,
2022-01-06 07:06:00+00:00,-0.0030371090996725502,9999.928303837558,1,,tp/sl
2022-01-06 07:06:00+00:00,-0.0030371072322393786,9999.925266730326,1,,tp/sl
2022-01-06 07:06:00+00:00,-0.003037107220950152,9999.922229623106,1,,tp/sl
2022-01-06 07:06:00+00:00,-0.0030371072096608857,9999.919192515896,1,,tp/sl
2022-01-06 07:06:00+00:00,-3.712985096310954e-05,9999.919155386046,1,y,
2022-01-06 07:07:00+00:00,-3.712422802084852e-05,9999.919118261818,1,y,
2022-01-06 07:08:00+00:00,-3.711522890157022e-05,9999.919081146589,1,y,
2022-01-06 07:09:00+00:00,0.00396282398197372,9999.923043970572,1,,tp/sl
2022-01-06 07:10:00+00:00,-0.0030370646546761517,9999.920006905917,1,,tp/sl
2022-01-06 07:10:00+00:00,-0.0030370646433994855,9999.916969841273,1,,tp/sl
2022-01-06 07:11:00+00:00,-3.707547071490142e-05,9999.916932765802,-1,y,
2022-01-06 07:12:00+00:00,-3.7061183497220765e-05,9999.916895704619,-1,y,
2022-01-06 07:13:00+00:00,-0.0030370668409501764,9999.913858637778,-1,,tp/sl
2022-01-06 07:15:00+00:00,-0.003037118892759111,9999.910821518884,-1,,tp/sl
2022-01-06 07:15:00+00:00,-3.714167898805966e-05,9999.910784377205,-1,y,
2022-01-06 07:16:00+00:00,-0.0030371367083242393,9999.907747240497,-1,,tp/sl
2022-01-06 07:16:00+00:00,-3.716135046276241e-05,9999.907710079147,-1,y,
2022-01-06 07:17:00+00:00,-3.7149156084230216e-05,9999.90767292999,-1,y,
2022-01-06 07:18:00+00:00,-3.715627952634907e-05,9999.90763577371,-1,y,
2022-01-06 07:19:00+00:00,-3.714995554151413e-05,9999.907598623755,1,y,
2022-01-06 07:20:00+00:00,-0.0030371457174198737,9999.904561478037,-1,,tp/sl
2022-01-06 07:20:00+00:00,-3.7175492671557084e-05,9999.904524302545,1,y,
2022-01-06 07:21:00+00:00,-0.0030371051643920434,9999.90148719738,1,,tp/sl
2022-01-06 07:21:00+00:00,-3.713588451186438e-05,9999.901450061496,1,y,
2022-01-06 07:22:00+00:00,0.003962853752631533,9999.905412915248,-1,,tp/sl
2022-01-06 07:22:00+00:00,0.003962853723183095,9999.909375768972,-1,,tp/sl
